"CREDIT_SCORE_ID","VER_NUM","BORROWER_TYPE","ACTIVE_IND","CREDIT_REPORT_ID","CREATED_BY","CREATE_DATE","LAST_UPDATED_BY","LAST_UPDATE_DATE","PRODUCT_SERVICE_CODE","CREDIT_SCORE","EVAL_RATING_CODE","SCORE_MSG","FACTOR_USED_IN_SCORING","CREDIT_BUREAU_CODE","SCORE_EVAL_FACTOR_NUM","MODEL_NAME_TYPE_KEY","EXCLUSION_REASON_TYPE"
"23","1","P","N","78","VISITOR","16-SEP-09 03.46.08.000000000 PM","T23497A","16-SEP-09 04.12.50.000000000 PM","","783","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"24","1","P","N","78","VISITOR","16-SEP-09 03.46.08.000000000 PM","T23497A","16-SEP-09 04.12.50.000000000 PM","","760","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"25","1","P","N","79","VISITOR","16-SEP-09 04.13.18.000000000 PM","T23497A","25-SEP-09 09.48.39.000000000 PM","","760","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"26","2","P","N","79","VISITOR","16-SEP-09 04.13.18.000000000 PM","T23497A","30-SEP-09 03.33.53.000000000 PM","","783","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"121","1","P","N","161","VISITOR","01-OCT-09 12.17.04.000000000 PM","T23497A","01-OCT-09 12.19.45.000000000 PM","","783","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"122","1","P","N","161","VISITOR","01-OCT-09 12.17.04.000000000 PM","T23497A","01-OCT-09 12.19.45.000000000 PM","","760","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"123","1","P","N","162","VISITOR","01-OCT-09 12.19.58.000000000 PM","T23497A","01-OCT-09 02.28.45.000000000 PM","","497","","","012 --  SCORE TEXT NOT PRESENT|029 --  SCORE TEXT NOT PRESENT|005 --  SCORE TEXT NOT PRESENT|","TransUnion","","Other",""
"124","1","P","N","162","VISITOR","01-OCT-09 12.19.58.000000000 PM","T23497A","01-OCT-09 02.28.45.000000000 PM","","515","","","00003 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED |00057 --  RELATIONSHIP OF ACCTS OPENED IN PAST 12 MONTHS TO TOTAL ACCTS |00025 --  UTILIZATION OF AVAILABLE CREDIT ON BANK REVOLVING ACCOUNTS |00013 --  TOTAL OUTSTANDING BALANCES ON BANK REVOLVING ACCOUNTS |","Equifax","","Other",""
"125","1","P","N","162","VISITOR","01-OCT-09 12.19.58.000000000 PM","T23497A","01-OCT-09 02.28.45.000000000 PM","","525","","","00040 --  DEROGATORY PUBLIC RECORD OR COLLECTION FILED|00010 --  PROPORTION OF BALANCES TO CREDIT LIMITS IS TOO HIGH ON BANK REVOLVING OR OTHER REVOLVING ACCOUNTS|00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00019 --  TOO FEW ACCOUNTS CURRENTLY PAID AS AGREED|","Equifax","","EquifaxBeacon",""
"126","1","P","N","162","VISITOR","01-OCT-09 12.19.58.000000000 PM","T23497A","01-OCT-09 02.28.45.000000000 PM","","497","","","01 --  CURRENT BALANCES ON ACCOUNTS |12 --  LENGTH OF REVOLVING ACCOUNT HISTORY |10 --  PROPORTION OF BALANCE TO HIGH CREDIT ON BANK REVOLVING OR ALL REVOLVING ACCOUNTS|","Experian","","ExperianFairIsaac",""
"173","0","P","Y","195","VISITOR","06-OCT-09 03.58.49.000000000 PM","","","","783","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"174","0","P","Y","195","VISITOR","06-OCT-09 03.58.49.000000000 PM","","","","760","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"175","1","P","N","197","VISITOR","06-OCT-09 04.06.27.000000000 PM","T23497A","06-OCT-09 07.39.31.000000000 PM","","740","","","    1 --  |   10 --  |   14 --  |","Experian","","ExperianFairIsaac",""
"176","1","P","N","197","VISITOR","06-OCT-09 04.06.27.000000000 PM","T23497A","06-OCT-09 07.39.31.000000000 PM","","728","","","    4 --  |   10 --  |   33 --  |    5 --  |","Equifax","","EquifaxBeacon",""
"177","1","P","N","197","VISITOR","06-OCT-09 04.06.27.000000000 PM","T23497A","06-OCT-09 07.39.31.000000000 PM","","772","","","    1 --  |    8 --  |   14 --  |   10 --  |","TransUnion","","FICORiskScoreClassic04",""
"178","1","C","N","197","VISITOR","06-OCT-09 04.06.27.000000000 PM","T23497A","06-OCT-09 07.39.31.000000000 PM","","717","","","   13 --  |   10 --  |   11 --  |   14 --  |","Equifax","","EquifaxBeacon",""
"179","1","C","N","197","VISITOR","06-OCT-09 04.06.27.000000000 PM","T23497A","06-OCT-09 07.39.31.000000000 PM","","724","","","   14 --  |    1 --  |","Experian","","ExperianFairIsaac",""
"180","1","C","N","197","VISITOR","06-OCT-09 04.06.27.000000000 PM","T23497A","06-OCT-09 07.39.31.000000000 PM","","734","","","    1 --  |    8 --  |   12 --  |   14 --  |","TransUnion","","FICORiskScoreClassic04",""
"181","1","C","N","198","VISITOR","06-OCT-09 07.40.28.000000000 PM","T23497A","06-OCT-09 10.59.17.000000000 PM","","724","","","   14 --  |    1 --  |","Experian","","ExperianFairIsaac",""
"182","1","C","N","198","VISITOR","06-OCT-09 07.40.28.000000000 PM","T23497A","06-OCT-09 10.59.17.000000000 PM","","717","","","   13 --  |   10 --  |   11 --  |   14 --  |","Equifax","","EquifaxBeacon",""
"183","1","P","N","198","VISITOR","06-OCT-09 07.40.28.000000000 PM","T23497A","06-OCT-09 10.59.17.000000000 PM","","772","","","    1 --  |    8 --  |   14 --  |   10 --  |","TransUnion","","FICORiskScoreClassic04",""
"184","1","P","N","198","VISITOR","06-OCT-09 07.40.28.000000000 PM","T23497A","06-OCT-09 10.59.17.000000000 PM","","740","","","    1 --  |   10 --  |   14 --  |","Experian","","ExperianFairIsaac",""
"185","1","C","N","198","VISITOR","06-OCT-09 07.40.28.000000000 PM","T23497A","06-OCT-09 10.59.17.000000000 PM","","734","","","    1 --  |    8 --  |   12 --  |   14 --  |","TransUnion","","FICORiskScoreClassic04",""
"186","1","P","N","198","VISITOR","06-OCT-09 07.40.28.000000000 PM","T23497A","06-OCT-09 10.59.16.000000000 PM","","728","","","    4 --  |   10 --  |   33 --  |    5 --  |","Equifax","","EquifaxBeacon",""
"199","0","C","Y","201","VISITOR","07-OCT-09 12.48.58.000000000 AM","","","","734","","","    1 --  |    8 --  |   12 --  |   14 --  |","TransUnion","","FICORiskScoreClassic04",""
"200","0","P","Y","201","VISITOR","07-OCT-09 12.48.58.000000000 AM","","","","772","","","    1 --  |    8 --  |   14 --  |   10 --  |","TransUnion","","FICORiskScoreClassic04",""
"201","0","C","Y","201","VISITOR","07-OCT-09 12.48.58.000000000 AM","","","","724","","","   14 --  |    1 --  |","Experian","","ExperianFairIsaac",""
"202","0","C","Y","201","VISITOR","07-OCT-09 12.48.58.000000000 AM","","","","717","","","   13 --  |   10 --  |   11 --  |   14 --  |","Equifax","","EquifaxBeacon",""
"203","0","P","Y","201","VISITOR","07-OCT-09 12.48.58.000000000 AM","","","","728","","","    4 --  |   10 --  |   33 --  |    5 --  |","Equifax","","EquifaxBeacon",""
"204","0","P","Y","201","VISITOR","07-OCT-09 12.48.58.000000000 AM","","","","740","","","    1 --  |   10 --  |   14 --  |","Experian","","ExperianFairIsaac",""
"64","0","P","Y","124","T12100A","29-SEP-09 05.00.17.000000000 PM","","","","783","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"127","0","P","Y","165","T12100A","01-OCT-09 04.06.55.000000000 PM","","","","740","","","    1 --  |   10 --  |   14 --  |","Experian","","ExperianFairIsaac",""
"128","0","C","Y","165","T12100A","01-OCT-09 04.06.55.000000000 PM","","","","717","","","   13 --  |   10 --  |   11 --  |   14 --  |","Equifax","","EquifaxBeacon",""
"129","0","C","Y","165","T12100A","01-OCT-09 04.06.55.000000000 PM","","","","734","","","    1 --  |    8 --  |   12 --  |   14 --  |","TransUnion","","FICORiskScoreClassic04",""
"130","0","P","Y","165","T12100A","01-OCT-09 04.06.55.000000000 PM","","","","728","","","    4 --  |   10 --  |   33 --  |    5 --  |","Equifax","","EquifaxBeacon",""
"131","0","C","Y","165","T12100A","01-OCT-09 04.06.55.000000000 PM","","","","724","","","   14 --  |    1 --  |","Experian","","ExperianFairIsaac",""
"132","0","P","Y","165","T12100A","01-OCT-09 04.06.55.000000000 PM","","","","772","","","    1 --  |    8 --  |   14 --  |   10 --  |","TransUnion","","FICORiskScoreClassic04",""
"65","0","C","Y","128","VISITOR","29-SEP-09 05.20.19.000000000 PM","","","","734","","","    1 --  |    8 --  |   12 --  |   14 --  |","TransUnion","","FICORiskScoreClassic04",""
"66","0","P","Y","128","VISITOR","29-SEP-09 05.20.19.000000000 PM","","","","728","","","    4 --  |   10 --  |   33 --  |    5 --  |","Equifax","","EquifaxBeacon",""
