"CREDIT_SCORE_ID","VER_NUM","BORROWER_TYPE","ACTIVE_IND","CREDIT_REPORT_ID","CREATED_BY","CREATE_DATE","LAST_UPDATED_BY","LAST_UPDATE_DATE","PRODUCT_SERVICE_CODE","CREDIT_SCORE","EVAL_RATING_CODE","SCORE_MSG","FACTOR_USED_IN_SCORING","CREDIT_BUREAU_CODE","SCORE_EVAL_FACTOR_NUM","MODEL_NAME_TYPE_KEY","EXCLUSION_REASON_TYPE"
"196","1","P","N","200","VISITOR","06-OCT-09 11.35.23.000000000 PM","T23497A","07-OCT-09 12.45.35.000000000 AM","","772","","","    1 --  |    8 --  |   14 --  |   10 --  |","TransUnion","","FICORiskScoreClassic04",""
"197","1","P","N","200","VISITOR","06-OCT-09 11.35.23.000000000 PM","T23497A","07-OCT-09 12.45.35.000000000 AM","","728","","","    4 --  |   10 --  |   33 --  |    5 --  |","Equifax","","EquifaxBeacon",""
"198","1","C","N","200","VISITOR","06-OCT-09 11.35.23.000000000 PM","T23497A","07-OCT-09 12.45.35.000000000 AM","","724","","","   14 --  |    1 --  |","Experian","","ExperianFairIsaac",""
"81","0","C","Y","141","T12100A","30-SEP-09 12.08.35.000000000 PM","","","","734","","","    1 --  |    8 --  |   12 --  |   14 --  |","TransUnion","","FICORiskScoreClassic04",""
"82","0","P","Y","141","T12100A","30-SEP-09 12.08.35.000000000 PM","","","","740","","","    1 --  |   10 --  |   14 --  |","Experian","","ExperianFairIsaac",""
"83","0","C","Y","141","T12100A","30-SEP-09 12.08.35.000000000 PM","","","","717","","","   13 --  |   10 --  |   11 --  |   14 --  |","Equifax","","EquifaxBeacon",""
"84","0","C","Y","141","T12100A","30-SEP-09 12.08.35.000000000 PM","","","","724","","","   14 --  |    1 --  |","Experian","","ExperianFairIsaac",""
"85","0","P","Y","141","T12100A","30-SEP-09 12.08.35.000000000 PM","","","","772","","","    1 --  |    8 --  |   14 --  |   10 --  |","TransUnion","","FICORiskScoreClassic04",""
"86","0","P","Y","141","T12100A","30-SEP-09 12.08.35.000000000 PM","","","","728","","","    4 --  |   10 --  |   33 --  |    5 --  |","Equifax","","EquifaxBeacon",""
"161","1","P","N","189","VISITOR","06-OCT-09 11.39.14.000000000 AM","T23497A","06-OCT-09 12.01.02.000000000 PM","","760","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"162","1","P","N","189","VISITOR","06-OCT-09 11.39.14.000000000 AM","T23497A","06-OCT-09 12.01.02.000000000 PM","","783","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
